Age,YOS,entry_age,start_sal,salary_increase,Salary,RemainingProb,DC_EEContrib,DC_ERContrib,DC_Contrib,DC_balance,RealDC_balance,RealPenWealth,RealHybridWealth
62,42,20,13910,0.03,64868.53373029569,0.03221037600681215,4540.797361120699,4540.797361120699,9081.594722241398,843598.4773675472,331341.9979556975,230935.57064176392,562277.5685974613
63,43,20,13910,0.03,66814.58974220455,0.025768300805449718,4677.021281954319,4677.021281954319,9354.042563908639,911731.965505517,350222.91971400246,235391.038384477,585613.9580984794
64,44,20,13910,0.03,68819.0274344707,0.020614640644359777,4817.331920412949,4817.331920412949,9634.663840825899,984907.2456548118,370006.5383721212,239580.06034530862,609586.5987174299
65,45,20,13910,0.03,70883.59825750481,0.01649171251548782,4961.851878025337,4961.851878025337,9923.703756050674,1063485.4166914746,390734.97619238065,243467.77681930276,634202.7530116835
66,46,20,13910,0.03,73010.10620522997,0.010719613135067085,5110.707434366098,5110.707434366098,10221.414868732196,1147853.0996159285,412452.3135937012,247193.50384597108,659645.8174396723
67,47,20,13910,0.03,75200.40939138686,0.008188100133698821,5264.028657397081,5264.028657397081,10528.057314794161,1238424.2314577757,435204.6801274045,250670.660333266,685875.3404606705
68,48,20,13910,0.03,77456.42167312847,0.0062544219604487705,5421.949517118994,5421.949517118994,10843.899034237988,1335641.9849746143,459040.3496793551,253781.45389396718,712821.8035733222
69,49,20,13910,0.03,79780.11432332233,0.0048639748538074025,5584.6080026325635,5584.6080026325635,11169.216005265127,1439980.8229570754,484009.8400947701,256480.7054286772,740490.5455234472
70,50,20,13910,0.03,82173.517753022,0.003891179883045922,5752.14624271154,5752.14624271154,11504.29248542308,1551948.6965693359,510166.0174311515,258718.51344043206,768884.5308715835
71,51,20,13910,0.03,84638.72328561266,0.0031129439064367373,5924.710629992887,5924.710629992887,11849.421259985775,1672089.3978146126,537564.2050543398,260785.0160150865,798349.2210694263
72,52,20,13910,0.03,87177.88498418104,0.0024903551251493896,6102.4519488926735,6102.4519488926735,12204.903897785347,1800985.0769216213,566262.2978026762,262558.0673190553,828820.3651217315
73,53,20,13910,0.03,89793.22153370648,0.0019922841001195116,6285.525507359454,6285.525507359454,12571.051014718909,1939258.9362039203,596320.88145471,263832.82151574123,860153.7029704512
74,54,20,13910,0.03,92487.01817971768,0.001593827280095609,6474.091272580238,6474.091272580238,12948.182545160476,2087578.1127529137,627803.3577468301,264548.26263413427,892351.6203809644
75,55,20,13910,0.03,95261.62872510921,0.001275061824076487,6668.3140107576455,6668.3140107576455,13336.628021515291,2246656.7631907784,660776.075198637,264636.3343074177,925412.4095060546
76,56,20,13910,0.03,98119.47758686249,0,6868.3634310803745,6868.3634310803745,13736.726862160749,2417259.3646356487,695308.4660158579,264670.9718126065,959979.4378284644
77,57,20,13910,0.03,101063.06191446836,0,7074.414334012786,7074.414334012786,14148.828668025571,2600204.247022305,731473.1893531319,264435.7490405007,995908.9383936326
78,58,20,13910,0.03,104094.95377190242,0,7286.64676403317,7286.64676403317,14573.29352806634,2796367.3729818924,769346.2812321165,263558.96555075987,1032905.2467828763
79,59,20,13910,0.03,107217.80238505949,0,7505.246166954165,7505.246166954165,15010.49233390833,3006686.382618692,809007.3114240833,261955.76057100482,1070963.0719950881
80,60,20,13910,0.03,110434.33645661127,0,7730.40355196279,7730.40355196279,15460.80710392558,3232164.9217359084,850539.54762054,259530.08875069115,1110069.6363712312
81,61,20,13910,0.03,113747.36655030963,0,7962.315658521675,7962.315658521675,15924.63131704335,3473877.2733613476,894030.127230442,257411.52939749844,1151441.6566279405
82,62,20,13910,0.03,117159.78754681892,0,8201.185128277324,8201.185128277324,16402.37025655465,3732973.3138136854,939570.2371582853,255117.75653392778,1194687.9936922132
83,63,20,13910,0.03,120674.58117322349,0,8447.220682125644,8447.220682125644,16894.441364251288,4010683.8160371985,987255.3019338318,252053.06597314155,1239308.3679069732
84,64,20,13910,0.03,124294.81860842019,0,8700.637302589414,8700.637302589414,17401.274605178827,4308326.124524054,1037185.1805814396,248096.06831647886,1285281.2488979185
85,65,20,13910,0.03,128023.66316667279,0,8961.656421667096,8961.656421667096,17923.31284333419,4627310.227845917,1089464.372634999,243106.15918386585,1332570.5318188649
86,66,20,13910,0.03,131864.373061673,0,9230.50611431711,9230.50611431711,18461.01222863422,4969145.256638465,1144202.2337233245,238901.39236373248,1383103.626087057
87,67,20,13910,0.03,135820.30425352318,0,9507.421297746623,9507.421297746623,19014.842595493246,5335446.436831793,1201513.2011706065,243304.13958423096,1444817.3407548375
88,68,20,13910,0.03,139894.9133811289,0,9792.643936679024,9792.643936679024,19585.287873358047,5727942.530005512,1261517.0300771606,250160.43411516096,1511677.4641923215
89,69,20,13910,0.03,144091.76078256275,0,10086.423254779393,10086.423254779393,20172.846509558785,6148483.794979257,1324339.040367341,257153.8204718226,1581492.8608391634
90,70,20,13910,0.03,148414.51360603963,0,10389.015952422775,10389.015952422775,20778.03190484555,6599050.507137364,1390110.375314097,264286.78981210064,1654397.1651261975
91,71,20,13910,0.03,152866.94901422082,0,10700.686430995458,10700.686430995458,21401.372861990916,7081762.074541825,1458968.272073312,271561.8769922519,1730530.149065564
92,72,20,13910,0.03,157452.95748464746,0,11021.707023925323,11021.707023925323,22043.414047850645,7598886.792621744,1531056.344785842,278981.66132259206,1810038.0061084342
93,73,20,13910,0.03,162176.54620918687,0,11352.358234643081,11352.358234643081,22704.716469286162,8152852.282153117,1606524.8808310833,286548.76733617345,1893073.6481672567
94,74,20,13910,0.03,167041.8425954625,0,11692.928981682377,11692.928981682377,23385.857963364753,8746256.658373121,1685531.1508430168,294265.86557067506,1979797.016413692
95,75,20,13910,0.03,172053.09787332636,0,12043.716851132847,12043.716851132847,24087.433702265695,9381880.482422605,1768239.7331280715,302135.6733637342,2070375.4064918058
96,76,20,13910,0.03,177214.6908095262,0,12405.028356666835,12405.028356666835,24810.05671333367,10062699.549894454,1854822.8531538313,310160.955661947,2164983.8088157782
