Age,YOS,entry_age,start_sal,count_start,salary_increase_yos,Salary.Growth,salary_increase_age,salary_increase,Salary,FinalAvgSalary,EEContrib,DBEEBalance,CumulativeWage,MaxBenefit,TermAfter5,TermBefore5Under30,TermBefore5B3039,TermBefore5Over39,Reduced,UnreducedRule90,UnreducedNoRule90,TermBefore5,retirement_cond,retirement_type,SepRateMale,SepRateFemale,SepRate,RemainingProb,SepProb,PenWealth,PVPenWealth,PVCumWage
47,25,22,31725.060168471722,848,0,174448.21548569083,0.0525,0.0525,132189.02577928363,119434.59261654253,9253.231804549856,244739.79476945917,3706895.347772358,178922.59177325293,0.042,0,0,0,0,0,0,0,FALSE,No,0.042,0.042,0.042,0.09385360979019408,0.0041146676525972425,244739.79476945917,140320.6780274882,2125335.068889534
48,26,22,31725.060168471722,848,0,182734.50572126117,0.0525,0.0525,139128.94963269602,125704.90872891102,9739.026474288723,269901.11323402385,4098567.0478957067,228171.70571838148,0.042,0,0,0,0,0,0,0,FALSE,No,0.042,0.042,0.042,0.08991175817900593,0.003941851611188152,269901.11323402385,151341.64220838735,2298189.3638648586
49,27,22,31725.060168471722,848,0,191414.39474302108,0.0525,0.0525,146433.21948841255,132304.41643717885,10250.325364188879,297183.7120685241,4524595.690881102,290265.3885355002,0.042,0,0,0,0,0,0,0,FALSE,No,0.042,0.042,0.042,0.08613546433548767,0.0037762938435182553,297183.7120685241,162972.92219222907,2481248.303780644
50,28,22,31725.060168471722,848,0,200506.5784933146,0.0475,0.0475,154120.9635115542,139250.39830013074,10788.467445808796,326750.97871716705,4987750.608731192,368762.8591170532,0.039,0,0,0,0,0.5,0,0,FALSE,No,0.039,0.039,0.039,0.08251777483339719,0.0036176895020904876,368762.8591170532,197776.32670791348,2675049.749565184
51,29,22,31725.060168471722,848,0,209529.37452551373,0.0475,0.0475,161441.70927835305,146561.0442108876,11300.919649484715,358778.2597795917,5491014.11485393,467478.80148411915,0.039,0,0,0,0,0.2,0,0,FALSE,No,0.039,0.039,0.039,0.0792995816148947,0.003218193218502488,467478.80148411915,245202.97677299887,2880158.4204251375
52,30,22,31725.060168471722,848,0,218958.19637916185,0.0475,0.0475,169110.19046907482,153998.63075943993,11837.71333283524,393399.7663147499,6036826.812172059,590450.1262165321,0.039,0,0,0,0,0.2,0,0,FALSE,No,0.039,0.039,0.039,0.07620689793191379,0.003092683682980907,590450.1262165321,302889.15205271286,3096771.8915472403
53,31,22,31725.060168471722,848,0,228811.31521622412,0.0475,0.0475,177142.92451635588,161557.62108632736,12400.004716144913,430808.46445804386,6628514.879493179,685532.7492264662,0.039,0,0,0,0,0.2,0,0,FALSE,No,0.039,0.039,0.039,0.07323482891256916,0.002972069019344631,685532.7492264662,343926.3016735653,3325472.9415402156
54,32,22,31725.060168471722,848,0,239107.82440095418,0.0475,0.0475,185557.2134308828,169231.60808792792,12989.004940161798,471211.01936396165,7269653.845574058,793952.8477650088,0.039,0,0,0,0,0.2,0,0,FALSE,No,0.039,0.039,0.039,0.07037867058497896,0.0028561583275902025,793952.8477650088,389554.81529870117,3566872.6034172224
55,33,22,31725.060168471722,848,0,249867.6764989971,0.045,0.045,194371.18106884975,177270.1094721045,13605.982674819485,514828.7405627809,7964086.828195125,918688.0460162552,0.036,0,0,0,0.01,0.08,0,0,FALSE,No,0.036,0.036,0.036,0.06763390243216477,0.0027447681528141865,918688.0460162552,440837.5853819881,3821611.506036636
56,34,22,31725.060168471722,848,0,259862.383558957,0.045,0.045,203117.884216948,185690.4396720295,14218.251895186362,561898.5913741811,8715944.087237634,1062136.583018133,0.036,0,0,0,0.01,0.08,0,0,TRUE,Reduced,0.01,0.01,0.01,0.06519908194460684,0.002434820487557929,1062136.583018133,498456.8863958995,4090361.278565481
57,35,22,31725.060168471722,848,0,270256.8789013153,0.045,0.045,212258.18900671066,194348.75957222685,14858.073230469747,612640.2517086893,9529178.057561217,1228038.2819433114,0.036,0,0,0,0.01,0.08,0,0,TRUE,Reduced,0.01,0.01,0.01,0.06454709112516077,6.519908194460716e-4,1228038.2819433114,563632.2330359924,4373602.9947548015
58,36,22,31725.060168471722,848,0,281067.1540573679,0.045,0.045,221809.8075120126,203249.08476416947,15526.686525840883,667319.9413002237,10408478.710597213,1417834.9121013046,0.036,0,0,0,0.01,0.09,0,0,TRUE,Reduced,0.01,0.01,0.01,0.06390162021390916,6.45470911251611e-4,1417834.9121013046,636423.5848721273,4672054.043475404
59,37,22,31725.060168471722,848,0,292309.8402196626,0.045,0.045,231791.24885005318,212395.2935785571,16225.387419503724,726222.4240105791,11358882.027851032,1634777.2030634093,0.036,0,0,0,0.02,0.09,0,0,TRUE,Reduced,0.02,0.02,0.02,0.06326260401177007,6.390162021390894e-4,1634777.2030634093,717655.2325494058,4986466.111665315
60,38,22,31725.060168471722,848,0,304002.2338284491,0.04,0.04,242221.85504830553,221953.08178959214,16955.529853381388,789652.2689907704,12385795.018650658,1883944.9715704864,0.033,0,0,0,0.02,0.09,0,0,TRUE,Normal With Rule of 90,0.09,0.09,0.09,0.06199735193153467,0.001265252080235403,1883944.9715704864,808839.178561229,5317626.799025823
61,39,22,31725.060168471722,848,0,316162.3231815871,0.04,0.04,251910.72925023775,231940.97047012378,17633.751047516645,857935.1963285519,13495022.525004512,2000057.3220191093,0.033,0,0,0,0.04,0.15,0,0,TRUE,Normal With Rule of 90,0.15,0.15,0.15,0.05641759025769655,0.00557976167383812,2000057.3220191093,839794.6281800931,5666361.308198478
62,40,22,31725.060168471722,848,0,328808.8161088506,0.04,0.04,261987.1584202473,241974.61104953216,18339.101089417312,931334.7351374243,14691584.831005067,2117067.4631788204,0.033,0,0,0,0.08,0.2,0,0,TRUE,Normal With Rule of 90,0.2,0.2,0.2,0.047954951719042065,0.008462638538654484,2117067.4631788204,869364.7570024421,6033036.877062739
63,41,22,31725.060168471722,848,0,341961.16875320463,0.04,0.04,272466.6447570572,252039.91423959687,19072.665132994007,1010210.5940107742,15981982.92759567,2234451.754161503,0.033,0,0,0,0.08,0.2,0,0,TRUE,Normal With Rule of 90,0.2,0.2,0.2,0.03836396137523366,0.009590990343808406,2234451.754161503,897377.1317894938,6418516.744952663
64,42,22,31725.060168471722,848,0,355639.6155033328,0.04,0.04,283365.31054733944,262121.51080918073,19835.571738313763,1094946.9477544685,17373188.377284426,2351629.6907527517,0.033,0,0,0,0.08,0.35,0,0,TRUE,Normal With Rule of 90,0.35,0.35,0.35,0.030691169100186926,0.007672792275046733,2351629.6907527517,923654.6782510005,6823704.762665296
65,43,22,31725.060168471722,848,0,369865.20012346614,0.04,0.04,294699.92296923307,272606.371241548,20628.994607846318,1185954.0710968226,18872676.874241676,2471640.1113344417,0.033,0,0,0,0,0.35,0.2,0,TRUE,Normal No Rule of 90,0.2,0.2,0.2,0.019949259915121503,0.010741909185065422,2471640.1113344417,949429.2720052188,7249547.287783295
66,44,22,31725.060168471722,848,0,382810.4821277874,0.04,0.04,306487.9198880024,283510.6260912099,21454.15439216017,1283670.0803259623,20488464.17840783,2594244.9715973,0.033,0,0,0,0,0.35,0.2,0,TRUE,Normal No Rule of 90,0.2,0.2,0.2,0.015959407932097203,0.0039898519830243,2594244.9715973,974596.9540429375,7697035.168193709
67,45,22,31725.060168471722,848,0,396208.84900225996,0.04,0.04,318747.43668352254,294851.0511348583,22312.32056784658,1388562.78993931,22229144.59078438,2719180.3667683206,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.012767526345677764,0.0031918815864194396,2719180.3667683206,999053.5452544359,8167205.817902543
68,46,22,31725.060168471722,848,0,410076.15871733904,0.04,0.04,331497.33415086346,306645.09318025265,23204.813390560445,1501131.6918532115,24103932.148822807,2846143.67777835,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.010852397393826098,0.0019151289518516655,2846143.67777835,1022690.5734824017,8661145.389435338
69,47,22,31725.060168471722,848,0,424428.82427244587,0.04,0.04,344757.22751689795,318910.8969074628,24133.005926182857,1621910.0652142307,26122704.733391266,2974806.3892770694,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.009224537784752183,0.0016278596090739152,2974806.3892770694,1045400.7844810387,9179991.047313258
70,48,22,31725.060168471722,848,0,439283.8331219814,0.035,0.035,358547.5166175739,331667.3327837613,25098.326163230176,1751467.2253793385,28296051.292245552,3104814.8120930074,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.007840857117039355,0.0013836806677128277,3104814.8120930074,1067078.8228178555,9724933.347302826
71,49,22,31725.060168471722,848,0,454658.76728125074,0.035,0.035,371096.679699189,344934.0260951118,25976.76757894323,1890410.9211922255,30635322.399320316,3235740.856586528,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.006664728549483452,0.0011761285675559036,3235740.856586528,1087605.049745336,10297218.726355746
72,50,22,31725.060168471722,848,0,470571.8241360945,0.035,0.035,384085.06348866055,358133.8079445536,26885.95444420624,2039264.3986486632,33150891.64697193,3361528.2731133616,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.0056650192670609344,9.997092824225173e-4,3361528.2731133616,1105022.0251271315,10897562.788778504
73,51,22,31725.060168471722,848,0,487041.83798085776,0.035,0.035,397528.0407107636,371243.0866018078,27826.962849753454,2198702.5390050327,35855539.12574863,3481283.8478335543,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.004815266377001794,8.497528900591406e-4,3481283.8478335543,1119206.6564593127,11527287.005180122
74,52,22,31725.060168471722,848,0,504088.3023101877,0.035,0.035,411441.5221356403,384236.59463287104,28800.906549494826,2369445.166890113,38762954.90526179,3594079.941519132,0.033,0,0,0,0,0.2,0.15,0,TRUE,Normal No Rule of 90,0.15,0.15,0.15,0.004092976420451525,7.222899565502688e-4,3594079.941519132,1130043.7700737834,12187774.454963084
75,53,22,31725.060168471722,848,0,521731.39289104426,0.035,0.035,425841.9754103877,397684.8754450215,29808.93827872714,2552260.009287465,41887803.27076576,3704589.7676648083,0.033,0,0,0,0,0.5,0.5,0,TRUE,Normal No Rule of 90,0.5,0.5,0.5,0.0034790299573837957,6.139464630677293e-4,3704589.7676648083,1139158.9820420353,12880472.69103724
76,54,22,31725.060168471722,848,0,539991.9916422308,0.035,0.035,440746.4445497513,411603.8460855972,30852.251118482593,2747965.848169877,45245791.47512975,3812225.7687973413,0.033,0,0,0,0,0.5,0.5,0,TRUE,Normal No Rule of 90,0.5,0.5,0.5,0.0017395149786918979,0.0017395149786918979,3812225.7687973413,1146461.597541781,13606896.737646261
77,55,22,31725.060168471722,848,0,558891.7113497088,0.035,0.035,456172.5701089925,426009.9806985931,31932.07990762948,2957435.8794194018,48853743.32293859,3916389.9965512576,0.033,0,0,0,0,0.5,0.5,0,TRUE,Normal No Rule of 90,0.5,0.5,0.5,8.697574893459489e-4,8.697574893459489e-4,3916389.9965512576,1151870.1268782069,14368632.22749071
78,56,22,31725.060168471722,848,0,578452.9212469487,0.035,0.035,472138.61006280716,440920.33002304385,33049.702704396506,3181601.2914892924,52729677.925653294,4016489.7582399086,0.033,0,0,0,0,0.5,0.5,0,TRUE,Normal No Rule of 90,0.5,0.5,0.5,4.3487874467297447e-4,4.3487874467297447e-4,4016489.7582399086,1155316.3774757518,15167338.684619172
79,57,22,31725.060168471722,848,0,598698.7734905918,0.035,0.035,488663.4614150054,456352.5415738503,34206.44229905038,3421455.078140493,56892893.990511835,4111930.589701619,0.033,0,0,0,0,0.5,0.5,0,TRUE,Normal No Rule of 90,0.5,0.5,0.5,2.1743937233648723e-4,2.1743937233648723e-4,4111930.589701619,1156742.5852381305,16004752.95985944
80,58,22,31725.060168471722,848,0,619653.2305627625,0.035,0.035,505766.6825645306,472324.880528935,35403.66777951714,3678056.100518675,61364060.03126267,4202131.490369492,0.033,0,0,0,0,1,1,0,TRUE,Normal No Rule of 90,1,1,1,1.0871968616824362e-4,1.0871968616824362e-4,4202131.490369492,1156104.9762631007,16882692.825876422
